"uid","apt_cd","apt_nm","rdnmadr","legaldong_cd","std_yr","xuar","ar_cd","cbxuar_nmhsh","cbarcd_minm_potvale","cbarcd_mxm_potvale","cbarcd_ave_potvale","cbarcd_median_potvale","cbxuar_minm_potvale","cbxuar_mxm_potvale","cbxuar_ave_potvale","cbxuar_median_potvale","cbxuar_stdv","signgu_potvale_rank","signgu_potvale_perc","signgu_potvale_cumedist","ctpr_potvale_rank","ctpr_potvale_perc","ctpr_potvale_cumedist","ntwd_potvale_rank","ntwd_potvale_perc","ntwd_potvale_cumedist","lo","la"
"00035662","APT1168010500100646000001","위레벤646","서울특별시 강남구 영동대로 646","1168010500","2022",38.97,"001",1,785000000,983000000,830333333,842000000,983000000,983000000,983000000,983000000,,10,98,3,14,100,0,12906,93,8,127.0578294983,37.5196629002
"00035655","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022",39.86,"001",1,860000000,1260000000,1060000000,1060000000,1260000000,1260000000,1260000000,1260000000,,1,100,0,1,100,0,8269,96,5,127.0594184227,37.5167639970
"00035656","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022",28.56,"001",1,860000000,1260000000,1060000000,1060000000,860000000,860000000,860000000,860000000,,1,100,0,1,100,0,8269,96,5,127.0594184227,37.5167639970
"00035657","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022",40.07,"002",6,1311000000,1683000000,1491250000,1485000000,1311000000,1476000000,1393500000,1395000000,66379967,51,89,11,91,99,1,3844,98,2,127.0594184227,37.5167639970
"00035658","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022",49.86,"002",6,1311000000,1683000000,1491250000,1485000000,1494000000,1683000000,1589000000,1590500000,75984209,51,88,11,91,99,1,3844,98,2,127.0594184227,37.5167639970
"00035659","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022",63.87,"003",6,1835000000,2066000000,1950833333,1952500000,1835000000,2066000000,1950833333,1952500000,92920217,95,90,10,158,100,1,1798,99,1,127.0594184227,37.5167639970
"00035660","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022",96.26,"004",1,3212000000,3278000000,3245000000,3245000000,3278000000,3278000000,3278000000,3278000000,,2,100,0,18,100,0,381,100,0,127.0594184227,37.5167639970
"00035661","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022",120.72,"004",1,3212000000,3278000000,3245000000,3245000000,3212000000,3212000000,3212000000,3212000000,,2,100,0,18,100,0,381,100,0,127.0594184227,37.5167639970
"00035663","APT1168010500100646000001","위레벤646","서울특별시 강남구 영동대로 646","1168010500","2022",38.21,"001",1,785000000,983000000,830333333,842000000,931000000,931000000,931000000,931000000,,10,98,3,14,100,0,12906,93,8,127.0578294983,37.5196629002
"00035664","APT1168010500100646000001","위레벤646","서울특별시 강남구 영동대로 646","1168010500","2022",31.21,"001",20,785000000,983000000,830333333,842000000,842000000,864000000,853000000,853000000,11285762,10,97,3,14,100,0,12906,93,8,127.0578294983,37.5196629002
