"uid","apt_cd","apt_nm","rdnmadr","legaldong_cd","nmhsh","use_aprv_yr","let_hus_yn","cmpny_hus_yn","rbld_yn","lo","la","hsmp_type","lnno_adres","ltout_type","dngct","htng_mthd","crrdpr_type","cnst_entrprs_nm","hus_mngm_entrprs_nm","buld_stru","elcty_capa","elvt_cnt","totprk_ecct","grnd_prkg_ecct","undgr_prkg_ecct","cctv_cnt","mngm_ofc_telno","mngm_ofc_fxnum","addi_wlf_fclt"
"00007942","APT1168031220030165000001","LH수서1단지","서울특별시 강남구 밤고개로 165","1168011200",830,"2023",1,0,0,127.1065189984,37.4784253195,,,,,"지역난방",,,,,,,,,,,,,
"00008454","APT1168041666220008000001","좋은사람좋은집","서울특별시 강남구 언주로90길 8","1168010100",26,,0,0,0,127.0438911815,37.5022725980,,,,,,,,,,,,,,,,,,
"00007943","APT1168031220040125000001","논현동역세권청년임대주택","서울특별시 강남구 봉은사로 125","1168010800",211,"2022",1,0,0,127.0274517332,37.5057557116,,,,,,,,,,,,,,,,,,
"00007918","APT1168030050860427000001","대우디오빌","서울특별시 강남구 언주로 427","1168010100",457,"2002",0,0,0,127.0427291241,37.5014909046,"주상복합","서울특별시 강남구 역삼동 720-25 대우디오빌역삼","분양",1,"지역난방","복도식","대우건설","(주)신대한 관리","철근콘크리트구조",2250,5,330,0,330,150,"0221936000","0221936004","관리사무소"
"00007877","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500",22,"2021",0,0,0,127.0594184227,37.5167639970,,,,,,,,,,,,,,,,,,
"00007878","APT1168010500100646000001","위레벤646","서울특별시 강남구 영동대로 646","1168010500",63,"2021",0,0,0,127.0578294983,37.5196629002,,,,,,,,,,,,,,,,,,
"00007879","APT1168010800100168000001","N168","서울특별시 강남구 학동로 168","1168010800",132,"2021",0,0,0,127.0294089855,37.5131164340,,,,,,,,,,,,,,,,,,
"00007880","APT1168011300100056000001","세곡2지구 도시형생활주택(유현리엔아파트)","서울특별시 강남구 밤고개로21길 56","1168011300",,,0,0,0,127.1127399637,37.4731645932,,,,,,,,,,,,,,,,,,
"00007881","APT1168020000032615000001","도곡스타클래스","서울특별시 강남구 남부순환로 2615","1168011800",96,"2007",0,0,0,127.0358789824,37.4852013763,,"서울특별시 강남구 도곡동 957-11번지",,1,,,,,"철근콘크리트구조",,5,245,,,,,,
"00007882","APT1168020000032740000001","럭키(462)","서울특별시 강남구 남부순환로 2740","1168011800",128,"1986",0,0,0,127.0462707655,37.4861490904,,"서울특별시 강남구 도곡동 462번지",,2,,,,,"철근콘크리트구조",,0,0,,,,,,
"00007883","APT1168020000032803000001","삼성래미안","서울특별시 강남구 남부순환로 2803","1168011800",732,"2001",0,0,0,127.0506486806,37.4897859208,"아파트","서울특별시 강남구 도곡동 91-5 도곡삼성래미안","분양",10,"지역난방","계단식","(주)삼성물산","주식회사한빛관리","철근콘크리트구조",2750,21,1222,58,1164,114,"0262052233","0262050033","관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소"
"00007884","APT1168020000060379000001","포이벨리","서울특별시 강남구 양재대로 379","1168010300",10,"2001",0,0,0,127.0552154693,37.4746082743,,"서울특별시 강남구 개포동 1164-28번지",,1,,,,,"철근콘크리트구조",,1,12,,,,,,
"00007885","APT1168021020010240000001","SK허브프리모","서울특별시 강남구 강남대로 240","1168011800",176,"2006",0,0,0,127.0343855071,37.4852763822,"주상복합","서울특별시 강남구 도곡동 953-1 양재SK허브프리모","분양",1,"개별난방","복도식","SK건설","(주)아스타아이비에스","철근콘크리트구조",950,4,176,0,176,40,"025783835","025784224","관리사무소"
"00007886","APT1168021020010256000001","대우디오빌","서울특별시 강남구 강남대로 256","1168011800",155,"2004",0,0,0,127.0335528435,37.4864326346,"주상복합","서울특별시 강남구 도곡동 952 도곡동양재디오빌","분양",1,"개별난방","복도식","대우건설",,"철근콘크리트구조",750,2,123,0,123,46,"025771127","025771128","관리사무소"
"00007887","APT1168021020010272000001","도곡푸르지오 102동","서울특별시 강남구 강남대로 272","1168011800",13,"2006",0,0,0,127.0328744513,37.4877709027,,"서울특별시 강남구 도곡동 949-2번지",,1,,,,,"철근콘크리트구조",,2,79,,,,,,
"00007888","APT1168021020010324000001","역삼디오슈페리움","서울특별시 강남구 강남대로 324","1168010100",60,"2006",0,0,0,127.0309529351,37.4921463461,"아파트","서울특별시 강남구 역삼동 836 역삼한스빌아파트","분양",1,"개별난방","복도식","한일합섬","(주)태룡에스디","철근콘크리트구조",515,2,166,10,156,19,"025088079","025688079","관리사무소, 노인정, 어린이놀이터"
"00007889","APT1168021220010225000001","현대썬앤빌","서울특별시 강남구 도산대로 225","1168010700",47,,0,0,0,127.0313875250,37.5210921846,,,,,,,,,,,,,,,,,,
"00007890","APT1168021220010232000001","청학아파트 에이동,비동,씨동","서울특별시 강남구 도산대로 232","1168010800",70,"1976",0,0,0,127.0327854417,37.5206801324,,"서울특별시 강남구 논현동 62-3번지",,2,,,,,"철근콘크리트구조",,0,0,,,,,,
"00007891","APT1168021220010454000001","휴먼스타빌","서울특별시 강남구 도산대로 454","1168010400",191,"2005",0,0,0,127.0460556185,37.5236841981,"주상복합","서울특별시 강남구 청담동 5-25 청담휴먼스타빌","임대+분양",1,"개별난방","계단식","휴먼터치",,"철근콘크리트구조",1600,3,284,142,142,75,"025560070","025408870","관리사무소, 커뮤니티공간"
"00007892","APT1168021220020016000001","서울개포상록스타힐스아파트","서울특별시 강남구 영동대로 16","1168011400",,,0,0,0,127.0761318931,37.4882209151,,,,,,,,,,,,,,,,,,
"00007893","APT1168021220020022000001","디에이치자이개포","서울특별시 강남구 영동대로 22","1168011400",1996,"2021",0,0,0,127.0751005003,37.4909925047,"아파트","서울특별시 강남구 일원동 611-1 디에이치 자이 개포","임대+분양",15,"지역난방","계단식","현대건설, 현대엔지니어링, GS건설","우리관리(주)","철근콘크리트구조",13904,49,3113,3113,0,1149,"024451996","024451969","관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소"
"00007894","APT1168021220020210000001","쌍용대치아파트1동, 2동, 3동, 5동, 6동","서울특별시 강남구 영동대로 210","1168010600",630,"1983",0,0,0,127.0710620958,37.4980932044,"아파트","서울특별시 강남구 대치동 66 쌍용대치1차","분양",5,"지역난방","계단식","쌍용건설","한국주택시설관리(주)","철근콘크리트구조",2350,21,670,670,0,47,"025627908","025620420","관리사무소, 노인정"
"00007895","APT1168021220020220000001","쌍용대치2","서울특별시 강남구 영동대로 220","1168010600",364,"1983",0,0,0,127.0708743685,37.4996040404,"아파트","서울특별시 강남구 대치동 65 대치쌍용2차","분양",4,"지역난방","계단식","쌍용건설","주식회사 한빛종합관리","철근콘크리트구조",1250,13,468,468,0,32,"025569768","0262418636","관리사무소, 노인정, 어린이놀이터, 자전거보관소"
"00007919","APT1168030050860555000001","시티프라디움더강남201동","서울특별시 강남구 언주로 555","1168010100",34,"2021",0,0,0,127.0393677625,37.5071858920,,"서울특별시 강남구 역삼동 901번지",,1,,,,,,,3,57,,,,,,
"00007896","APT1168021220020230000001","대치우성아파트1동, 2동, 3동, 5동, 6동, 7동","서울특별시 강남구 영동대로 230","1168010600",476,"1984",0,0,0,127.0692541817,37.5001564421,"아파트","서울특별시 강남구 대치동 63 대치우성1차아파트","분양",6,"지역난방","계단식","(주)우성건설","한국주택시설관리(주)","철근콘크리트구조",2100,17,498,498,0,62,"025567244","025655560","관리사무소, 노인정, 어린이놀이터, 자전거보관소"
