"uid","apt_cd","apt_nm","rdnmadr","legaldong_cd","std_yr","hakgudo_info","lo","la"
"00007809","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초1학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울봉은초통학구역""}]}",127.0594184227,37.5167639970
"00007810","APT1168010500100646000001","위레벤646","서울특별시 강남구 영동대로 646","1168010500","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초1학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울봉은초통학구역""}]}",127.0578294983,37.5196629002
"00007811","APT1168010800100168000001","N168","서울특별시 강남구 학동로 168","1168010800","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초1학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울논현초통학구역""}]}",127.0294089855,37.5131164340
"00007812","APT1168011300100056000001","세곡2지구 도시형생활주택(유현리엔아파트)","서울특별시 강남구 밤고개로21길 56","1168011300","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초2학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}]}",127.1127399637,37.4731645932
"00007813","APT1168020000032615000001","도곡스타클래스","서울특별시 강남구 남부순환로 2615","1168011800","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초2학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울언주초통학구역""}]}",127.0358789824,37.4852013763
"00007814","APT1168020000032740000001","럭키(462)","서울특별시 강남구 남부순환로 2740","1168011800","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초2학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울구룡초통학구역""}]}",127.0462707655,37.4861490904
"00007815","APT1168020000032803000001","삼성래미안","서울특별시 강남구 남부순환로 2803","1168011800","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초2학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울대도초통학구역""}]}",127.0506486806,37.4897859208
"00007816","APT1168020000060379000001","포이벨리","서울특별시 강남구 양재대로 379","1168010300","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초2학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울포이초통학구역""}]}",127.0552154693,37.4746082743
"00007817","APT1168021020010240000001","SK허브프리모","서울특별시 강남구 강남대로 240","1168011800","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초2학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울언주초통학구역""}]}",127.0343855071,37.4852763822
"00007818","APT1168021020010256000001","대우디오빌","서울특별시 강남구 강남대로 256","1168011800","2022","{""중학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_nm"": ""강남서초2학교군""}], ""고등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""평준화"", ""hakgudo_nm"": ""강남서초학교군""}], ""초등학교"": [{""edu_nm"": ""서울특별시강남서초교육지원청"", ""edu_up_nm"": ""서울특별시교육청"", ""hakgudo_gb"": ""통학구역"", ""hakgudo_nm"": ""서울언주초통학구역""}]}",127.0335528435,37.4864326346
