"uid","apt_cd","apt_nm","rdnmadr","legaldong_cd","std_yr","cros_smgu_totl_pul_cnt","cros_smgu_prdctn_cnt","cros_smgu_chdh_pul_cnt","cros_smgu_oage_pul_cnt","pul_dens","pul_dens_idx","totl_dpnrt","chdh_dpnrt","oage_dpnrt","aging_idx","age_stru_idx","lo","la"
"00007806","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","2022",1849,1312,165,372,3170.47,4,40.93,12.58,28.35,225.45,3,127.0594184227,37.5167639970
"00007807","APT1168010500100646000001","위레벤646","서울특별시 강남구 영동대로 646","1168010500","2022",1076,770,100,206,2416.33,3,39.74,12.99,26.75,206.00,4,127.0578294983,37.5196629002
"00007808","APT1168010800100168000001","N168","서울특별시 강남구 학동로 168","1168010800","2022",2537,2098,88,351,7937.39,6,20.92,4.19,16.73,398.86,7,127.0294089855,37.5131164340
"00007809","APT1168011300100056000001","세곡2지구 도시형생활주택(유현리엔아파트)","서울특별시 강남구 밤고개로21길 56","1168011300","2022",1980,1284,386,310,861.62,2,54.21,30.06,24.14,80.31,5,127.1127399637,37.4731645932
"00007810","APT1168020000032615000001","도곡스타클래스","서울특별시 강남구 남부순환로 2615","1168011800","2022",1784,1506,115,163,10080.09,7,18.46,7.64,10.82,141.74,9,127.0358789824,37.4852013763
"00007811","APT1168020000032740000001","럭키(462)","서울특별시 강남구 남부순환로 2740","1168011800","2022",2441,1860,198,383,6883.42,6,31.24,10.65,20.59,193.43,6,127.0462707655,37.4861490904
"00007812","APT1168020000032803000001","삼성래미안","서울특별시 강남구 남부순환로 2803","1168011800","2022",5660,4082,844,734,6553.59,6,38.66,20.68,17.98,86.97,7,127.0506486806,37.4897859208
"00007813","APT1168020000060379000001","포이벨리","서울특별시 강남구 양재대로 379","1168010300","2022",1588,1171,203,214,1310.31,2,35.61,17.34,18.27,105.42,7,127.0552154693,37.4746082743
"00007814","APT1168021020010240000001","SK허브프리모","서울특별시 강남구 강남대로 240","1168011800","2022",2045,1733,155,157,3511.28,4,18.00,8.94,9.06,101.29,9,127.0343855071,37.4852763822
"00007815","APT1168021020010256000001","대우디오빌","서울특별시 강남구 강남대로 256","1168011800","2022",2222,1904,122,196,9974.32,7,16.70,6.41,10.29,160.66,9,127.0335528435,37.4864326346
"00007816","APT1168021020010272000001","도곡푸르지오 102동","서울특별시 강남구 강남대로 272","1168011800","2022",2469,2005,152,312,6903.64,6,23.14,7.58,15.56,205.26,7,127.0328744513,37.4877709027
"00007817","APT1168021020010324000001","역삼디오슈페리움","서울특별시 강남구 강남대로 324","1168010100","2022",2528,2334,84,110,11145.01,8,8.31,3.60,4.71,130.95,10,127.0309529351,37.4921463461
"00007818","APT1168021220010225000001","현대썬앤빌","서울특별시 강남구 도산대로 225","1168010700","2022",1390,1134,79,177,4047.76,5,22.57,6.97,15.61,224.05,7,127.0313875250,37.5210921846
"00007819","APT1168021220010232000001","청학아파트 에이동,비동,씨동","서울특별시 강남구 도산대로 232","1168010800","2022",1390,1134,79,177,4047.76,5,22.57,6.97,15.61,224.05,7,127.0327854417,37.5206801324
"00007820","APT1168021220010454000001","휴먼스타빌","서울특별시 강남구 도산대로 454","1168010400","2022",1425,1108,101,216,2847.96,4,28.61,9.12,19.49,213.86,6,127.0460556185,37.5236841981
"00007821","APT1168021220020016000001","서울개포상록스타힐스아파트","서울특별시 강남구 영동대로 16","1168011400","2022",758,571,69,118,363.54,1,32.75,12.08,20.67,171.01,6,127.0761318931,37.4882209151
"00007822","APT1168021220020022000001","디에이치자이개포","서울특별시 강남구 영동대로 22","1168011400","2022",5067,3555,499,1013,1386.06,3,42.53,14.04,28.50,203.01,3,127.0751005003,37.4909925047
"00007823","APT1168021220020210000001","쌍용대치아파트1동, 2동, 3동, 5동, 6동","서울특별시 강남구 영동대로 210","1168010600","2022",5367,3930,574,863,2878.09,4,36.56,14.61,21.96,150.35,5,127.0710620958,37.4980932044
"00007824","APT1168021220020220000001","쌍용대치2","서울특별시 강남구 영동대로 220","1168010600","2022",3980,2968,416,596,2275.35,3,34.10,14.02,20.08,143.27,6,127.0708743685,37.4996040404
"00007825","APT1168021220020230000001","대치우성아파트1동, 2동, 3동, 5동, 6동, 7동","서울특별시 강남구 영동대로 230","1168010600","2022",3277,2415,382,480,3655.64,4,35.69,15.82,19.88,125.65,6,127.0692541817,37.5001564421
"00007826","APT1168021220020325000001","S-TOWER","서울특별시 강남구 영동대로 325","1168010600","2022",1159,888,110,161,1269.68,2,30.52,12.39,18.13,146.36,7,127.0655329640,37.5033403503
"00007827","APT1168021220020330000701","풍림아이원4차(1007-2)","서울특별시 강남구 영동대로 330-7","1168010600","2022",305,244,15,46,512.50,1,25.00,6.15,18.85,306.67,6,127.0667870129,37.5042419828
"00007828","APT1168021220020602000001","미켈란107","서울특별시 강남구 영동대로 602","1168010500","2022",2134,1597,134,403,2094.54,3,33.63,8.39,25.23,300.75,4,127.0604839842,37.5147213926
"00007829","APT1168021220020640000001","아이파크","서울특별시 강남구 영동대로 640","1168010500","2022",3403,2398,365,640,4029.71,5,41.91,15.22,26.69,175.34,4,127.0593656801,37.5183480725
"00007830","APT1168030050860003000001","개포6차우성아파트1동~8동","서울특별시 강남구 언주로 3","1168010300","2022",3027,1984,321,722,1189.89,2,52.57,16.18,36.39,224.92,2,127.0572180892,37.4761556986
"00007831","APT1168030050860101000001","쌍용","서울특별시 강남구 언주로 101","1168010300","2022",835,599,142,94,5651.29,5,39.40,23.71,15.69,66.20,8,127.0532734374,37.4810519004
"00007832","APT1168030050860103000001","전화국현대(220)","서울특별시 강남구 언주로 103","1168010300","2022",867,611,125,131,7067.64,6,41.90,20.46,21.44,104.80,6,127.0528944249,37.4813336643
"00007833","APT1168030050860105000001","개포현대200동","서울특별시 강남구 언주로 105","1168010300","2022",867,611,125,131,7067.64,6,41.90,20.46,21.44,104.80,6,127.0526731714,37.4816821286
