"uid","apt_cd","apt_nm","rdnmadr","legaldong_cd","std_ym","ar_cd","dlngs_qntt","accmlt_dlngs_qntt","torat","cbarcd_minm_price","cbarcd_mxm_price","cbarcd_ave_price","cbarcd_median_price","recent_dlngs_ymd","dlngs_trend","near_apt_dlngs_trend","crrspnd_emd_dlngs_trend","lo","la"
"00013067","APT1168010500100002000001","브르넨삼성","서울특별시 강남구 영동대로122길 2","1168010500","202201","999",0,0,0.00,0,0,0,0,"99999999","N/A","N/A","N/A",127.0594184227,37.5167639970
"00013068","APT1168010500100646000001","위레벤646","서울특별시 강남구 영동대로 646","1168010500","202201","999",0,0,0.00,0,0,0,0,"99999999","N/A","N/A","N/A",127.0578294983,37.5196629002
"00013069","APT1168010800100168000001","N168","서울특별시 강남구 학동로 168","1168010800","202201","999",0,0,0.00,0,0,0,0,"99999999","N/A","N/A","N/A",127.0294089855,37.5131164340
"00013070","APT1168011300100056000001","세곡2지구 도시형생활주택(유현리엔아파트)","서울특별시 강남구 밤고개로21길 56","1168011300","202201","999",0,0,0.00,0,0,0,0,"99999999","N/A","N/A","N/A",127.1127399637,37.4731645932
"00013071","APT1168020000032615000001","도곡스타클래스","서울특별시 강남구 남부순환로 2615","1168011800","202201","004",0,89,0.00,0,0,0,0,"20210429","N/A","상승세","상승세",127.0358789824,37.4852013763
"00013072","APT1168020000032615000001","도곡스타클래스","서울특별시 강남구 남부순환로 2615","1168011800","202201","005",0,1,0.00,0,0,0,0,"20120903","N/A","하락세","상승세",127.0358789824,37.4852013763
"00013073","APT1168020000032740000001","럭키(462)","서울특별시 강남구 남부순환로 2740","1168011800","202201","003",0,66,0.00,0,0,0,0,"20201024","상승세","하락세","하락세",127.0462707655,37.4861490904
"00013074","APT1168020000032803000001","삼성래미안","서울특별시 강남구 남부순환로 2803","1168011800","202201","002",0,155,0.00,0,0,0,0,"20210904","상승세","하락세","상승세",127.0506486806,37.4897859208
"00013075","APT1168020000032803000001","삼성래미안","서울특별시 강남구 남부순환로 2803","1168011800","202201","003",0,182,0.00,0,0,0,0,"20210917","하락세","하락세","하락세",127.0506486806,37.4897859208
"00013076","APT1168020000032803000001","삼성래미안","서울특별시 강남구 남부순환로 2803","1168011800","202201","004",0,255,0.00,0,0,0,0,"20210820","상승세","상승세","상승세",127.0506486806,37.4897859208
"00013077","APT1168020000060379000001","포이벨리","서울특별시 강남구 양재대로 379","1168010300","202201","003",0,19,0.00,0,0,0,0,"20201216","N/A","상승세","상승세",127.0552154693,37.4746082743
"00013078","APT1168021020010240000001","SK허브프리모","서울특별시 강남구 강남대로 240","1168011800","202201","001",1,67,0.57,374000000,374000000,374000000,374000000,"20220118","상승세","하락세","하락세",127.0343855071,37.4852763822
"00013079","APT1168021020010240000001","SK허브프리모","서울특별시 강남구 강남대로 240","1168011800","202201","002",0,10,0.00,0,0,0,0,"20210205","N/A","상승세","상승세",127.0343855071,37.4852763822
"00013080","APT1168021020010240000001","SK허브프리모","서울특별시 강남구 강남대로 240","1168011800","202201","003",0,117,0.00,0,0,0,0,"20210209","상승세","상승세","하락세",127.0343855071,37.4852763822
"00013081","APT1168021020010256000001","대우디오빌","서울특별시 강남구 강남대로 256","1168011800","202201","001",0,155,0.00,0,0,0,0,"20210825","상승세","상승세","하락세",127.0335528435,37.4864326346
"00013082","APT1168021020010272000001","도곡푸르지오 102동","서울특별시 강남구 강남대로 272","1168011800","202201","005",0,13,0.00,0,0,0,0,"20210401","N/A","상승세","상승세",127.0328744513,37.4877709027
"00013083","APT1168021020010324000001","역삼디오슈페리움","서울특별시 강남구 강남대로 324","1168010100","202201","002",0,23,0.00,0,0,0,0,"20210111","N/A","상승세","상승세",127.0309529351,37.4921463461
"00013084","APT1168021020010324000001","역삼디오슈페리움","서울특별시 강남구 강남대로 324","1168010100","202201","003",0,40,0.00,0,0,0,0,"20210222","상승세","상승세","상승세",127.0309529351,37.4921463461
"00013085","APT1168021220010225000001","현대썬앤빌","서울특별시 강남구 도산대로 225","1168010700","202201","999",0,0,0.00,0,0,0,0,"99999999","N/A","N/A","N/A",127.0313875250,37.5210921846
"00013086","APT1168021220010232000001","청학아파트 에이동,비동,씨동","서울특별시 강남구 도산대로 232","1168010800","202201","004",0,58,0.00,0,0,0,0,"20210813","하락세","상승세","상승세",127.0327854417,37.5206801324
"00013087","APT1168021220010454000001","휴먼스타빌","서울특별시 강남구 도산대로 454","1168010400","202201","001",0,126,0.00,0,0,0,0,"20210824","상승세","상승세","하락세",127.0460556185,37.5236841981
"00013088","APT1168021220020022000001","디에이치자이개포","서울특별시 강남구 영동대로 22","1168011400","202201","003",1,6,0.05,2082730000,2082730000,2082730000,2082730000,"20220126","상승세","상승세","상승세",127.0751005003,37.4909925047
"00013089","APT1168021220020022000001","디에이치자이개포","서울특별시 강남구 영동대로 22","1168011400","202201","004",0,1,0.00,0,0,0,0,"20211109","상승세","하락세","하락세",127.0751005003,37.4909925047
"00013090","APT1168021220020210000001","쌍용대치아파트1동, 2동, 3동, 5동, 6동","서울특별시 강남구 영동대로 210","1168010600","202201","003",1,121,0.16,2700000000,2700000000,2700000000,2700000000,"20220128","상승세","상승세","상승세",127.0710620958,37.4980932044
"00013091","APT1168021220020210000001","쌍용대치아파트1동, 2동, 3동, 5동, 6동","서울특별시 강남구 영동대로 210","1168010600","202201","004",0,66,0.00,0,0,0,0,"20210811","하락세","하락세","하락세",127.0710620958,37.4980932044
"00013092","APT1168021220020210000001","쌍용대치아파트1동, 2동, 3동, 5동, 6동","서울특별시 강남구 영동대로 210","1168010600","202201","005",0,36,0.00,0,0,0,0,"20210329","상승세","상승세","상승세",127.0710620958,37.4980932044
"00013093","APT1168021220020220000001","쌍용대치2","서울특별시 강남구 영동대로 220","1168010600","202201","003",0,64,0.00,0,0,0,0,"20210917","상승세","상승세","상승세",127.0708743685,37.4996040404
"00013094","APT1168021220020220000001","쌍용대치2","서울특별시 강남구 영동대로 220","1168010600","202201","004",0,69,0.00,0,0,0,0,"20210913","상승세","하락세","하락세",127.0708743685,37.4996040404
"00013095","APT1168021220020230000001","대치우성아파트1동, 2동, 3동, 5동, 6동, 7동","서울특별시 강남구 영동대로 230","1168010600","202201","003",0,115,0.00,0,0,0,0,"20211021","하락세","상승세","상승세",127.0692541817,37.5001564421
