,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,Title_Miss,Title_Mr,Title_Mrs,Title_Others,Sex_male,Embarked_Q,Embarked_S
0,0,0,22.0,1,0,7.25,1,False,True,False,False,True,False,True
1,1,2,38.0,1,0,71.2833,1,False,False,True,False,False,False,False
2,1,0,26.0,0,0,7.925,0,True,False,False,False,False,False,True
3,1,2,35.0,1,0,53.1,1,False,False,True,False,False,False,True
4,0,0,35.0,0,0,8.05,0,False,True,False,False,True,False,True
5,0,0,32.38721804511278,0,0,8.4583,0,False,True,False,False,True,True,False
6,0,2,54.0,0,0,51.8625,0,False,True,False,False,True,False,True
7,0,0,2.0,3,1,21.075,4,False,False,False,False,True,False,True
8,1,0,27.0,0,2,11.1333,2,False,False,True,False,False,False,True
9,1,1,14.0,1,0,30.0708,1,False,False,True,False,False,False,False
10,1,0,4.0,1,1,16.7,2,True,False,False,False,False,False,True
11,1,2,58.0,0,0,26.55,0,True,False,False,False,False,False,True
12,0,0,20.0,0,0,8.05,0,False,True,False,False,True,False,True
13,0,0,39.0,1,5,31.275,6,False,True,False,False,True,False,True
14,0,0,14.0,0,0,7.8542,0,True,False,False,False,False,False,True
15,1,1,55.0,0,0,16.0,0,False,False,True,False,False,False,True
16,0,0,2.0,4,1,29.125,5,False,False,False,False,True,True,False
17,1,1,32.38721804511278,0,0,13.0,0,False,True,False,False,True,False,True
18,0,0,31.0,1,0,18.0,1,False,False,True,False,False,False,True
19,1,0,35.9,0,0,7.225,0,False,False,True,False,False,False,False
20,0,1,35.0,0,0,26.0,0,False,True,False,False,True,False,True
21,1,1,34.0,0,0,13.0,0,False,True,False,False,True,False,True
22,1,0,15.0,0,0,8.0292,0,True,False,False,False,False,True,False
23,1,2,28.0,0,0,35.5,0,False,True,False,False,True,False,True
24,0,0,8.0,3,1,21.075,4,True,False,False,False,False,False,True
25,1,0,38.0,1,5,31.3875,6,False,False,True,False,False,False,True
26,0,0,32.38721804511278,0,0,7.225,0,False,True,False,False,True,False,False
27,0,2,19.0,3,2,263.0,5,False,True,False,False,True,False,True
28,1,0,21.845637583892618,0,0,7.8792,0,True,False,False,False,False,True,False
29,0,0,32.38721804511278,0,0,7.8958,0,False,True,False,False,True,False,True
30,0,2,40.0,0,0,27.7208,0,False,True,False,False,True,False,False
31,1,2,35.9,1,0,146.5208,1,False,False,True,False,False,False,False
32,1,0,21.845637583892618,0,0,7.75,0,True,False,False,False,False,True,False
33,0,1,66.0,0,0,10.5,0,False,True,False,False,True,False,True
34,0,2,28.0,1,0,82.1708,1,False,True,False,False,True,False,False
35,0,2,42.0,1,0,52.0,1,False,True,False,False,True,False,True
36,1,0,32.38721804511278,0,0,7.2292,0,False,True,False,False,True,False,False
37,0,0,21.0,0,0,8.05,0,False,True,False,False,True,False,True
38,0,0,18.0,2,0,18.0,2,True,False,False,False,False,False,True
39,1,0,14.0,1,0,11.2417,1,True,False,False,False,False,False,False
40,0,0,40.0,1,0,9.475,1,False,False,True,False,False,False,True
41,0,1,27.0,1,0,21.0,1,False,False,True,False,False,False,True
42,0,0,32.38721804511278,0,0,7.8958,0,False,True,False,False,True,False,False
43,1,1,3.0,1,2,41.5792,3,True,False,False,False,False,False,False
44,1,0,19.0,0,0,7.8792,0,True,False,False,False,False,True,False
45,0,0,32.38721804511278,0,0,8.05,0,False,True,False,False,True,False,True
46,0,0,32.38721804511278,1,0,15.5,1,False,True,False,False,True,True,False
47,1,0,21.845637583892618,0,0,7.75,0,True,False,False,False,False,True,False
48,0,0,32.38721804511278,2,0,21.6792,2,False,True,False,False,True,False,False
49,0,0,18.0,1,0,17.8,1,False,False,True,False,False,False,True
50,0,0,7.0,4,1,39.6875,5,False,False,False,False,True,False,True
51,0,0,21.0,0,0,7.8,0,False,True,False,False,True,False,True
52,1,2,49.0,1,0,76.7292,1,False,False,True,False,False,False,False
53,1,1,29.0,1,0,26.0,1,False,False,True,False,False,False,True
54,0,2,65.0,0,1,61.9792,1,False,True,False,False,True,False,False
55,1,2,32.38721804511278,0,0,35.5,0,False,True,False,False,True,False,True
56,1,1,21.0,0,0,10.5,0,True,False,False,False,False,False,True
57,0,0,28.5,0,0,7.2292,0,False,True,False,False,True,False,False
58,1,1,5.0,1,2,27.75,3,True,False,False,False,False,False,True
59,0,0,11.0,5,2,46.9,7,False,False,False,False,True,False,True
